User ID,Vehicle Model,Charging Station Location,Vehicle Age (years),Charger Type,User Type
User_1234,Nissan Leaf,San Francisco,4,Level 2,Long-Distance Traveler
User_1235,Nissan Leaf,San Francisco,7,Level 2,Long-Distance Traveler
User_1236,Hyundai Kona,Los Angeles,4,Level 1,Commuter
User_1237,Tesla Model 3,Houston,1,Level 1,Commuter
User_1238,Tesla Model 3,San Francisco,5,Level 2,Long-Distance Traveler
User_1239,Tesla Model 3,San Francisco,7,Level 2,Long-Distance Traveler
User_1240,Tesla Model 3,Los Angeles,4,DC Fast Charger,Long-Distance Traveler
User_1241,Tesla Model 3,Chicago,3,DC Fast Charger,Long-Distance Traveler
User_1242,Hyundai Kona,San Francisco,3,DC Fast Charger,Commuter
User_1243,Chevy Bolt,New York,4,DC Fast Charger,Long-Distance Traveler
User_1244,Nissan Leaf,New York,4,Level 2,Long-Distance Traveler
User_1245,Tesla Model 3,Chicago,6,DC Fast Charger,Casual Driver
User_1246,Chevy Bolt,Houston,2.124835503,Level 2,Commuter
User_1247,Chevy Bolt,Los Angeles,2,Level 2,Commuter
User_1248,Nissan Leaf,New York,1,Level 1,Casual Driver
User_1249,Hyundai Kona,New York,3,DC Fast Charger,Commuter
User_1250,BMW i3,Chicago,5,Level 2,Commuter
User_1251,BMW i3,Houston,5,Level 1,Long-Distance Traveler
User_1252,Chevy Bolt,Houston,1,Level 1,Long-Distance Traveler
User_1253,Nissan Leaf,Chicago,3,Level 2,Commuter
User_1254,BMW i3,New York,7,Level 2,Casual Driver
User_1255,Chevy Bolt,Los Angeles,0,DC Fast Charger,Casual Driver
User_1256,Hyundai Kona,New York,4,DC Fast Charger,Commuter
User_1257,BMW i3,Houston,1,Level 2,Commuter
User_1258,Chevy Bolt,New York,6,Level 2,Commuter
User_1259,Chevy Bolt,Los Angeles,3,Level 1,Commuter
User_1260,Tesla Model 3,San Francisco,2,Level 1,Long-Distance Traveler
User_1261,Hyundai Kona,New York,4,Level 1,Long-Distance Traveler
User_1262,Tesla Model 3,Chicago,4,Level 1,Commuter
User_1263,Nissan Leaf,San Francisco,2,Level 1,Casual Driver
User_1264,Tesla Model 3,Chicago,4,DC Fast Charger,Long-Distance Traveler
User_1265,Tesla Model 3,Chicago,5,Level 1,Commuter
User_1266,BMW i3,Chicago,6.561021127,Level 2,Casual Driver
User_1267,Chevy Bolt,New York,3.224934966,DC Fast Charger,Long-Distance Traveler
User_1268,Hyundai Kona,Houston,0,Level 1,Long-Distance Traveler
User_1269,Tesla Model 3,San Francisco,7,Level 1,Commuter
User_1270,Hyundai Kona,Los Angeles,0.020155741,Level 1,Casual Driver
User_1271,Tesla Model 3,Houston,4,Level 2,Commuter
User_1272,Nissan Leaf,New York,7,Level 1,Long-Distance Traveler
User_1273,Tesla Model 3,Chicago,1,Level 2,Casual Driver
User_1274,BMW i3,Los Angeles,0,Level 2,Long-Distance Traveler
User_1275,Chevy Bolt,San Francisco,6,Level 1,Commuter
User_1276,Nissan Leaf,Houston,3,Level 1,Commuter
User_1277,Tesla Model 3,Houston,5,DC Fast Charger,Long-Distance Traveler
User_1278,Hyundai Kona,Los Angeles,0,DC Fast Charger,Commuter
User_1279,Nissan Leaf,New York,2,DC Fast Charger,Commuter
User_1280,Nissan Leaf,San Francisco,3,Level 2,Long-Distance Traveler
User_1281,Tesla Model 3,Los Angeles,7,Level 1,Casual Driver
User_1282,Nissan Leaf,Chicago,7,DC Fast Charger,Long-Distance Traveler
User_1283,Hyundai Kona,San Francisco,0.190046926,Level 2,Long-Distance Traveler
User_1284,Nissan Leaf,Houston,3,DC Fast Charger,Casual Driver
User_1285,Hyundai Kona,Los Angeles,5,DC Fast Charger,Commuter
User_1286,Tesla Model 3,Houston,7,Level 1,Casual Driver
User_1287,Chevy Bolt,Houston,6,Level 1,Long-Distance Traveler
User_1288,Nissan Leaf,Houston,1,Level 2,Casual Driver
User_1289,Chevy Bolt,New York,0,Level 1,Commuter
User_1290,Hyundai Kona,Houston,5,DC Fast Charger,Casual Driver
User_1291,Nissan Leaf,Chicago,4,Level 2,Casual Driver
User_1292,BMW i3,Chicago,0.845189621,Level 2,Long-Distance Traveler
User_1293,Chevy Bolt,San Francisco,5,Level 2,Casual Driver
User_1294,Nissan Leaf,Houston,2.928811331,Level 2,Long-Distance Traveler
User_1295,Chevy Bolt,Houston,6,Level 1,Commuter
User_1296,Nissan Leaf,Los Angeles,5,DC Fast Charger,Casual Driver
User_1297,Tesla Model 3,New York,7,Level 1,Casual Driver
User_1298,Chevy Bolt,San Francisco,7,Level 1,Long-Distance Traveler
User_1299,BMW i3,Houston,5,Level 2,Long-Distance Traveler
User_1300,BMW i3,Los Angeles,5,Level 1,Commuter
User_1301,Hyundai Kona,New York,3,Level 1,Long-Distance Traveler
User_1302,Nissan Leaf,San Francisco,3,DC Fast Charger,Long-Distance Traveler
User_1303,Chevy Bolt,San Francisco,3,Level 2,Commuter
User_1304,Hyundai Kona,Houston,5,Level 1,Long-Distance Traveler
User_1305,Chevy Bolt,San Francisco,6,Level 2,Long-Distance Traveler
User_1306,Nissan Leaf,Los Angeles,1,DC Fast Charger,Long-Distance Traveler
User_1307,BMW i3,San Francisco,5,Level 1,Long-Distance Traveler
User_1308,Tesla Model 3,Chicago,4,DC Fast Charger,Commuter
User_1309,BMW i3,Los Angeles,2,DC Fast Charger,Commuter
User_1310,Hyundai Kona,New York,5,Level 2,Long-Distance Traveler
User_1311,Tesla Model 3,New York,1,Level 2,Casual Driver
User_1312,Hyundai Kona,Houston,3,Level 2,Commuter
User_1313,Nissan Leaf,Houston,0,Level 1,Casual Driver
User_1314,Tesla Model 3,Chicago,3,Level 2,Long-Distance Traveler
User_1315,Hyundai Kona,New York,5,Level 1,Long-Distance Traveler
User_1316,Nissan Leaf,New York,7,DC Fast Charger,Commuter
User_1317,BMW i3,New York,4,Level 2,Casual Driver
User_1318,Nissan Leaf,New York,5,DC Fast Charger,Commuter
User_1319,Chevy Bolt,San Francisco,5,Level 2,Commuter
User_1320,Nissan Leaf,Los Angeles,5,DC Fast Charger,Commuter
